Entry,localization,relability_score
Q9UKL0,Nucleoplasm,Enhanced
O75909,Nucleoplasm,Enhanced
Q7L5Y9,Nucleoplasm,Enhanced
Q9ULT8,Nucleoli,Enhanced
Q9ULT8,Nucleoplasm,Enhanced
P07910,Nucleoplasm,Enhanced
Q9BSI4,Nuclear bodies,Enhanced
Q9HAW4,Nucleoplasm,Enhanced
Q9UKX7,Nuclear membrane,Enhanced
Q9UKX7,Nucleoplasm,Enhanced
P45973,Nucleoplasm,Enhanced
Q9NR45,Nucleoplasm,Enhanced
Q9BTA9,Nucleoplasm,Enhanced
Q13451,Nucleoplasm,Enhanced
P00519,Nuclear bodies,Enhanced
P00519,Nucleoplasm,Enhanced
P52272,Nucleoplasm,Enhanced
O75781,Nucleoplasm,Enhanced
P46109,Nucleoplasm,Enhanced
Q15459,Nuclear speckles,Enhanced
Q15459,Nucleoplasm,Enhanced
Q13356,Nucleoplasm,Enhanced
O00541,Mitotic chromosome,Enhanced
O00541,Nucleoli,Enhanced
O00541,Nucleoli rim,Enhanced
O00541,Nucleoplasm,Enhanced
P54198,Nucleoplasm,Enhanced
Q9BY77,Nuclear speckles,Enhanced
P33992,Nucleoplasm,Enhanced
Q15750,Nuclear speckles,Enhanced
Q09472,Nucleoplasm,Enhanced
Q7RTV0,Nucleoplasm,Enhanced
Q00532,Nucleoplasm,Enhanced
Q13573,Nucleoplasm,Enhanced
Q16665,Nuclear bodies,Enhanced
Q16665,Nucleoplasm,Enhanced
Q13243,Nucleoplasm,Enhanced
P56279,Nucleoplasm,Enhanced
Q6PJT7,Nuclear speckles,Enhanced
P62191,Nucleoplasm,Enhanced
O75582,Nucleoplasm,Enhanced
Q9HCK8,Nucleoplasm,Enhanced
Q8TEB1,Nucleoplasm,Enhanced
Q9UJQ4,Nucleoplasm,Enhanced
Q05048,Nucleoplasm,Enhanced
Q96CA5,Nucleoplasm,Enhanced
Q9UKD1,Nucleoplasm,Enhanced
O00567,Nucleoli fibrillar center,Enhanced
P33240,Nuclear bodies,Enhanced
P33240,Nucleoplasm,Enhanced
Q8NHV9,Nucleoplasm,Enhanced
Q16576,Nucleoplasm,Enhanced
O60828,Nuclear speckles,Enhanced
P50402,Nuclear membrane,Enhanced
O43719,Nucleoplasm,Enhanced
Q9Y237,Nucleoli,Enhanced
Q9UNF1,Nucleoli,Enhanced
Q9UNF1,Nucleoplasm,Enhanced
P98179,Nucleoplasm,Enhanced
Q2M1K9,Nucleoplasm,Enhanced
Q96AP0,Nuclear bodies,Enhanced
P51665,Nucleoplasm,Enhanced
Q9H6T0,Nucleoplasm,Enhanced
O60304,Nucleoplasm,Enhanced
O15405,Nucleoplasm,Enhanced
P56270,Nucleoplasm,Enhanced
Q1ED39,Nucleoli,Enhanced
Q1ED39,Nucleoli rim,Enhanced
Q9NV88,Nucleoplasm,Enhanced
Q9HDC5,Nucleoplasm,Enhanced
Q6NXG1,Nuclear bodies,Enhanced
Q6NXG1,Nucleoplasm,Enhanced
P33991,Nucleoplasm,Enhanced
P14866,Nucleoplasm,Enhanced
P08621,Nucleoplasm,Enhanced
Q8TEK3,Nucleoplasm,Enhanced
O75792,Nucleoplasm,Enhanced
P24864,Nucleoplasm,Enhanced
P36954,Nucleoplasm,Enhanced
O95049,Nucleoplasm,Enhanced
Q9BUJ2,Nucleoplasm,Enhanced
Q9NWV8,Nuclear bodies,Enhanced
Q9NWV8,Nucleoplasm,Enhanced
Q9BQ67,Nucleoli,Enhanced
Q9BQ67,Nucleoli rim,Enhanced
Q9BQ67,Nucleoplasm,Enhanced
Q8IWZ8,Nucleoplasm,Enhanced
Q3B726,Nucleoli fibrillar center,Enhanced
Q3B726,Nucleoplasm,Enhanced
O60381,Nuclear speckles,Enhanced
Q02446,Nucleoplasm,Enhanced
O75190,Nucleoplasm,Enhanced
Q92527,Nucleoplasm,Enhanced
Q9NW13,Nucleoli,Enhanced
P49005,Nucleoplasm,Enhanced
Q9BQ39,Nucleoli,Enhanced
Q9NXX6,Nucleoplasm,Enhanced
Q9HB21,Nucleoplasm,Enhanced
Q9BZE4,Nucleoli,Enhanced
Q9BZE4,Nucleoli rim,Enhanced
Q5VWN6,Nucleoplasm,Enhanced
P84098,Nucleoli,Enhanced
P17480,Nucleoli fibrillar center,Enhanced
Q14974,Nuclear membrane,Enhanced
Q14974,Nucleoplasm,Enhanced
O94983,Nucleoplasm,Enhanced
Q7Z5J4,Nucleoplasm,Enhanced
Q8IY81,Nucleoli,Enhanced
Q8IY81,Nucleoli rim,Enhanced
Q92925,Nucleoplasm,Enhanced
Q9NYH9,Mitotic chromosome,Enhanced
Q9NYH9,Nucleoli,Enhanced
O95232,Nuclear speckles,Enhanced
Q15029,Nucleoplasm,Enhanced
Q16534,Nucleoplasm,Enhanced
Q96QT6,Nucleoplasm,Enhanced
Q99453,Nucleoplasm,Enhanced
O43143,Nuclear speckles,Enhanced
Q8TAT5,Nucleoplasm,Enhanced
P57682,Nucleoplasm,Enhanced
Q8N3X1,Nucleoplasm,Enhanced
O00534,Nucleoplasm,Enhanced
Q5H9R7,Nucleoplasm,Enhanced
Q9H6F5,Mitotic chromosome,Enhanced
Q9H6F5,Nucleoli,Enhanced
Q9H6F5,Nucleoli rim,Enhanced
Q9H6F5,Nucleoplasm,Enhanced
Q9UMS4,Nuclear speckles,Enhanced
P32780,Nucleoplasm,Enhanced
Q8NHQ9,Nucleoli,Enhanced
Q8NHQ9,Nucleoplasm,Enhanced
Q9ULW2,Nucleoplasm,Enhanced
Q86VP6,Nucleoplasm,Enhanced
Q16630,Nuclear speckles,Enhanced
Q16630,Nucleoplasm,Enhanced
Q13601,Nucleoli,Enhanced
Q13601,Nucleoli rim,Enhanced
Q13601,Nucleoplasm,Enhanced
P46087,Nucleoli,Enhanced
Q14839,Nucleoplasm,Enhanced
Q99622,Nuclear speckles,Enhanced
Q9Y294,Nucleoplasm,Enhanced
Q9BX46,Nucleoplasm,Enhanced
Q13895,Mitotic chromosome,Enhanced
Q13895,Nucleoli,Enhanced
Q13895,Nucleoli rim,Enhanced
Q13895,Nucleoplasm,Enhanced
Q13123,Nuclear speckles,Enhanced
Q9Y5P4,Nucleoplasm,Enhanced
Q8TDN6,Mitotic chromosome,Enhanced
Q8TDN6,Nucleoli,Enhanced
O75694,Nuclear membrane,Enhanced
P04150,Nucleoplasm,Enhanced
O14776,Nucleoplasm,Enhanced
O15527,Nucleoplasm,Enhanced
P52294,Nucleoplasm,Enhanced
Q92831,Nucleoplasm,Enhanced
Q9H8V3,Nucleoplasm,Enhanced
P52298,Nucleoplasm,Enhanced
P19338,Nucleoli,Enhanced
P19338,Nucleoli rim,Enhanced
P19338,Nucleoplasm,Enhanced
O15355,Nucleoplasm,Enhanced
Q9BSM1,Nucleoplasm,Enhanced
P42224,Nucleoplasm,Enhanced
Q9BWT3,Nucleoplasm,Enhanced
O75533,Nuclear speckles,Enhanced
Q9H2J4,Nucleoplasm,Enhanced
Q16629,Nucleoplasm,Enhanced
P15336,Nucleoplasm,Enhanced
Q9NWW7,Nucleoplasm,Enhanced
Q9HB71,Nucleoplasm,Enhanced
Q9Y546,Nucleoplasm,Enhanced
Q13547,Nucleoplasm,Enhanced
P23246,Nucleoplasm,Enhanced
Q3T8J9,Nuclear bodies,Enhanced
Q3T8J9,Nucleoplasm,Enhanced
Q14814,Nucleoplasm,Enhanced
Q9NX46,Nucleoplasm,Enhanced
Q99598,Nucleoplasm,Enhanced
P12524,Mitotic chromosome,Enhanced
P12524,Nucleoplasm,Enhanced
O43395,Nucleoplasm,Enhanced
Q99848,Nucleoli,Enhanced
Q99848,Nucleoli rim,Enhanced
Q12834,Nucleoplasm,Enhanced
Q9P2K3,Nucleoplasm,Enhanced
Q92786,Nucleoplasm,Enhanced
O14497,Nucleoplasm,Enhanced
P15927,Nuclear bodies,Enhanced
P15927,Nucleoplasm,Enhanced
Q12972,Nuclear speckles,Enhanced
Q12972,Nucleoplasm,Enhanced
O15446,Nucleoli fibrillar center,Enhanced
O15446,Nucleoplasm,Enhanced
Q8WVM7,Nuclear bodies,Enhanced
Q8WVM7,Nucleoplasm,Enhanced
P16220,Nucleoplasm,Enhanced
O00141,Nuclear speckles,Enhanced
O43524,Nucleoplasm,Enhanced
Q9GZN2,Nucleoplasm,Enhanced
P30279,Nucleoplasm,Enhanced
Q9H583,Nucleoli fibrillar center,Enhanced
Q01105,Nucleoplasm,Enhanced
Q15257,Nucleoplasm,Enhanced
Q9BSH5,Nucleoli,Enhanced
Q96H35,Nucleoplasm,Enhanced
Q9H1B7,Nucleoplasm,Enhanced
P49756,Nuclear speckles,Enhanced
Q9NTM9,Nucleoli,Enhanced
Q9NTM9,Nucleoplasm,Enhanced
O75940,Nucleoplasm,Enhanced
Q9ULL1,Nucleoplasm,Enhanced
Q9H6Y2,Nucleoli,Enhanced
Q9H6Y2,Nucleoplasm,Enhanced
Q96GX5,Nucleoplasm,Enhanced
Q92598,Nucleoplasm,Enhanced
Q7LBC6,Nucleoplasm,Enhanced
P18146,Nucleoplasm,Enhanced
P42166,Nuclear membrane,Enhanced
P42167,Nuclear membrane,Enhanced
Q13148,Nucleoplasm,Enhanced
Q92905,Nucleoplasm,Enhanced
Q63HK5,Nucleoplasm,Enhanced
Q8WXF1,Nucleoli fibrillar center,Enhanced
Q8WXF1,Nucleoplasm,Enhanced
Q99496,Nuclear bodies,Enhanced
Q99496,Nucleoplasm,Enhanced
Q07666,Nucleoplasm,Enhanced
Q29RF7,Nucleoplasm,Enhanced
Q9UBT6,Nucleoplasm,Enhanced
Q7Z6E9,Nuclear speckles,Enhanced
Q8IXQ5,Nucleoplasm,Enhanced
O15164,Nucleoplasm,Enhanced
O95229,Nuclear bodies,Enhanced
O95229,Nucleoplasm,Enhanced
Q9C0J9,Nucleoplasm,Enhanced
Q8N987,Nucleoplasm,Enhanced
P18846,Nucleoplasm,Enhanced
P24941,Nucleoplasm,Enhanced
Q15014,Nucleoplasm,Enhanced
Q06265,Nucleoli,Enhanced
O60825,Nucleoplasm,Enhanced
P55060,Nucleoplasm,Enhanced
O00566,Nucleoli,Enhanced
O00566,Nucleoli rim,Enhanced
Q96PN7,Nucleoplasm,Enhanced
Q96EU6,Nucleoli,Enhanced
Q96EU6,Nucleoplasm,Enhanced
P09234,Nucleoplasm,Enhanced
Q9HAV4,Nucleoplasm,Enhanced
Q9BQ90,Nucleoplasm,Enhanced
P49790,Nuclear membrane,Enhanced
Q13950,Nucleoplasm,Enhanced
P48436,Nucleoplasm,Enhanced
Q06710,Nucleoplasm,Enhanced
P07199,Nuclear bodies,Enhanced
P07199,Nucleoplasm,Enhanced
O43390,Nucleoplasm,Enhanced
Q9UKM9,Nucleoplasm,Enhanced
P41229,Nucleoplasm,Enhanced
P49721,Nucleoplasm,Enhanced
O43542,Nucleoplasm,Enhanced
P42229,Nucleoplasm,Enhanced
Q9BZE0,Nucleoplasm,Enhanced
O75937,Nucleoplasm,Enhanced
Q5TGY3,Nucleoplasm,Enhanced
P19419,Nucleoplasm,Enhanced
O75638,Nucleoplasm,Enhanced
P55795,Nucleoplasm,Enhanced
P48740,Nucleoplasm,Enhanced
Q5RL73,Nucleoplasm,Enhanced
O15409,Nucleoplasm,Enhanced
Q9GZZ0,Nucleoplasm,Enhanced
Q8NBR6,Nucleoplasm,Enhanced
P15172,Nucleoplasm,Enhanced
Q9UGK8,Nucleoplasm,Enhanced
Q9BSJ6,Nucleoplasm,Enhanced
O60563,Nucleoplasm,Enhanced
Q8N9T8,Nucleoli,Enhanced
Q12906,Nucleoplasm,Enhanced
Q15843,Nucleoplasm,Enhanced
O75081,Nucleoplasm,Enhanced
Q96P11,Nucleoli,Enhanced
Q96P11,Nucleoplasm,Enhanced
O14526,Nucleoplasm,Enhanced
O00268,Nucleoplasm,Enhanced
P61081,Nuclear bodies,Enhanced
P61081,Nucleoli,Enhanced
P61081,Nucleoplasm,Enhanced
Q13263,Nucleoplasm,Enhanced
Q9UPT8,Nucleoplasm,Enhanced
Q96PQ6,Nucleoplasm,Enhanced
Q7Z5Q5,Nucleoplasm,Enhanced
Q8WUA2,Nucleoplasm,Enhanced
O60239,Nuclear bodies,Enhanced
O60239,Nucleoplasm,Enhanced
P55055,Nucleoplasm,Enhanced
P61289,Nucleoplasm,Enhanced
P61353,Nucleoli,Enhanced
P61353,Nucleoplasm,Enhanced
P53396,Nucleoplasm,Enhanced
P22670,Nucleoplasm,Enhanced
P37231,Nucleoplasm,Enhanced
P62826,Nucleoplasm,Enhanced
P27694,Nucleoplasm,Enhanced
O95218,Nucleoplasm,Enhanced
Q9NVM4,Nucleoplasm,Enhanced
Q15554,Nuclear bodies,Enhanced
Q15554,Nucleoplasm,Enhanced
P12004,Nucleoplasm,Enhanced
Q96GM8,Nuclear bodies,Enhanced
Q96GM8,Nucleoplasm,Enhanced
P49321,Nucleoplasm,Enhanced
Q8TE76,Nucleoplasm,Enhanced
Q8IYB3,Nuclear speckles,Enhanced
Q86Y97,Nucleoplasm,Enhanced
Q96KP4,Nucleoplasm,Enhanced
Q9BTT4,Nucleoplasm,Enhanced
O75586,Nucleoplasm,Enhanced
Q9Y4K0,Nucleoplasm,Enhanced
Q9BV44,Nucleoli,Enhanced
P40337,Nucleoplasm,Enhanced
O60636,Nucleoplasm,Enhanced
Q8NEY8,Nucleoplasm,Enhanced
P41225,Nucleoplasm,Enhanced
Q13823,Nucleoli,Enhanced
Q13823,Nucleoli rim,Enhanced
Q8NAV1,Nucleoplasm,Enhanced
Q9NWB6,Nucleoplasm,Enhanced
P14921,Nucleoplasm,Enhanced
Q9H0A0,Nucleoli,Enhanced
Q96GA3,Nucleoplasm,Enhanced
Q14146,Nucleoli,Enhanced
Q08211,Nucleoplasm,Enhanced
P23760,Nucleoplasm,Enhanced
P25686,Nuclear membrane,Enhanced
Q9BVC5,Nucleoplasm,Enhanced
Q2M389,Nucleoplasm,Enhanced
Q5TBB1,Nucleoplasm,Enhanced
Q14119,Nucleoplasm,Enhanced
O96019,Nucleoplasm,Enhanced
P62995,Nucleoplasm,Enhanced
Q9C0J8,Nucleoli fibrillar center,Enhanced
Q9C0J8,Nucleoplasm,Enhanced
Q96G21,Nucleoli,Enhanced
P10599,Nucleoplasm,Enhanced
Q9NZ63,Nucleoplasm,Enhanced
O43172,Nuclear speckles,Enhanced
Q9BXL5,Nucleoplasm,Enhanced
Q99436,Nuclear bodies,Enhanced
Q99436,Nucleoplasm,Enhanced
P01106,Nucleoplasm,Enhanced
Q8N1G2,Nucleoplasm,Enhanced
P05549,Nucleoplasm,Enhanced
Q8IXM6,Nuclear membrane,Enhanced
Q7Z7C8,Nucleoplasm,Enhanced
Q14392,Nucleoplasm,Enhanced
Q9BRD0,Nucleoplasm,Enhanced
Q9H5F2,Nucleoplasm,Enhanced
Q9NWH9,Nuclear bodies,Enhanced
Q9NWH9,Nucleoplasm,Enhanced
Q02241,Nucleoplasm,Enhanced
Q8NG31,Nuclear bodies,Enhanced
Q8NG31,Nucleoplasm,Enhanced
Q9UHA3,Nucleoli,Enhanced
Q9UHA3,Nucleoli rim,Enhanced
Q9UHA3,Nucleoplasm,Enhanced
O00442,Nucleoplasm,Enhanced
Q9UK59,Nucleoplasm,Enhanced
Q14103,Nucleoplasm,Enhanced
Q08209,Nucleoplasm,Enhanced
Q6ZN18,Nucleoplasm,Enhanced
Q99590,Nucleoplasm,Enhanced
Q9BRT6,Nucleoli,Enhanced
Q9BQ15,Nucleoplasm,Enhanced
Q8TAQ2,Nucleoplasm,Enhanced
Q9GZS3,Nucleoplasm,Enhanced
Q9NTJ4,Nucleoplasm,Enhanced
P29590,Nuclear bodies,Enhanced
Q9NVI1,Nucleoplasm,Enhanced
Q6DN12,Nucleoplasm,Enhanced
Q6UUV7,Nucleoplasm,Enhanced
Q49A26,Nucleoplasm,Enhanced
Q02556,Nucleoplasm,Enhanced
O75376,Nucleoplasm,Enhanced
Q8IZL8,Nucleoli,Enhanced
Q8IZL8,Nucleoplasm,Enhanced
Q9BUR4,Nuclear bodies,Enhanced
P04637,Nucleoplasm,Enhanced
Q9NYG5,Nucleoli,Enhanced
Q9NYG5,Nucleoplasm,Enhanced
Q6PJ69,Nucleoplasm,Enhanced
Q9HC52,Nucleoplasm,Enhanced
O00257,Nucleoplasm,Enhanced
O60885,Nucleoplasm,Enhanced
P08651,Nucleoplasm,Enhanced
Q9UBE0,Nucleoplasm,Enhanced
Q86X55,Nucleoplasm,Enhanced
Q9Y314,Nucleoplasm,Enhanced
O00488,Nucleoli,Enhanced
O00488,Nucleoplasm,Enhanced
Q9P215,Nucleoplasm,Enhanced
P14859,Nucleoplasm,Enhanced
Q92733,Nuclear speckles,Enhanced
P51858,Nucleoplasm,Enhanced
Q8N1G0,Nucleoplasm,Enhanced
Q8N5J2,Nucleoplasm,Enhanced
Q7Z3K3,Nucleoplasm,Enhanced
Q9UMX2,Nucleoplasm,Enhanced
Q8WXI9,Nucleoplasm,Enhanced
Q99698,Nucleoplasm,Enhanced
O15381,Nucleoli,Enhanced
Q6IQ49,Nuclear speckles,Enhanced
P09874,Nucleoplasm,Enhanced
Q14739,Nuclear membrane,Enhanced
Q9UN79,Nucleoplasm,Enhanced
Q76L83,Nucleoplasm,Enhanced
Q96S65,Nucleoplasm,Enhanced
Q6UN15,Nucleoplasm,Enhanced
Q9NX58,Nucleoli,Enhanced
Q9NX58,Nucleoli rim,Enhanced
Q9NX58,Nucleoplasm,Enhanced
Q9P2G9,Nucleoplasm,Enhanced
P20248,Nucleoplasm,Enhanced
Q8WTS6,Nucleoli,Enhanced
Q8WTS6,Nucleoli rim,Enhanced
Q96HR8,Nucleoplasm,Enhanced
P61247,Nucleoli,Enhanced
P81877,Nucleoplasm,Enhanced
A6H8Y1,Nucleoplasm,Enhanced
O95379,Nucleoplasm,Enhanced
Q96JP0,Nucleoplasm,Enhanced
Q96RE9,Nucleoplasm,Enhanced
Q9Y247,Nucleoplasm,Enhanced
Q96PV7,Nucleoli,Enhanced
Q96PV7,Nucleoplasm,Enhanced
Q8IYS1,Nucleoplasm,Enhanced
Q15007,Nuclear speckles,Enhanced
Q96FF9,Nucleoplasm,Enhanced
Q5C9Z4,Nucleoli,Enhanced
Q14202,Nucleoplasm,Enhanced
Q15233,Nucleoli fibrillar center,Enhanced
Q15233,Nucleoplasm,Enhanced
Q96PU4,Nucleoplasm,Enhanced
Q8N3Z6,Nucleoli,Enhanced
Q15527,Nucleoli,Enhanced
Q15527,Nucleoli rim,Enhanced
Q15527,Nucleoplasm,Enhanced
O75683,Nucleoli,Enhanced
O75683,Nucleoli rim,Enhanced
Q9Y5Q8,Nucleoplasm,Enhanced
Q9BV86,Nucleoplasm,Enhanced
Q9ULV3,Nucleoplasm,Enhanced
P46013,Nucleoli rim,Enhanced
Q5VV67,Nucleoplasm,Enhanced
Q92879,Nucleoplasm,Enhanced
Q14207,Nuclear bodies,Enhanced
Q14207,Nucleoplasm,Enhanced
O94776,Nucleoplasm,Enhanced
Q9BRQ3,Nucleoplasm,Enhanced
P62861,Nucleoli,Enhanced
Q8NFU5,Nucleoplasm,Enhanced
O60870,Nucleoplasm,Enhanced
O43493,Nucleoplasm,Enhanced
Q8NA72,Nucleoplasm,Enhanced
Q13426,Nucleoplasm,Enhanced
Q9NR56,Nucleoplasm,Enhanced
O14979,Nucleoplasm,Enhanced
Q6UX04,Nucleoplasm,Enhanced
Q9HBL8,Nucleoplasm,Enhanced
P29083,Nucleoplasm,Enhanced
Q8WXA9,Nuclear speckles,Enhanced
Q8WXA9,Nucleoplasm,Enhanced
Q8N139,Nucleoplasm,Enhanced
Q969S2,Nucleoplasm,Enhanced
Q96F44,Nucleoplasm,Enhanced
Q06546,Nucleoplasm,Enhanced
Q8NCE0,Nucleoplasm,Enhanced
Q01831,Nucleoplasm,Enhanced
Q6PII3,Nucleoplasm,Enhanced
Q9P0U4,Nucleoplasm,Enhanced
Q5TCS8,Nucleoplasm,Enhanced
Q96T76,Nucleoplasm,Enhanced
Q7Z4Q2,Nucleoplasm,Enhanced
Q9BYG3,Nucleoli,Enhanced
Q9BYG3,Nucleoli rim,Enhanced
Q7Z3K6,Nucleoplasm,Enhanced
Q5VTR2,Nucleoplasm,Enhanced
Q6PJG2,Nucleoplasm,Enhanced
Q16520,Nucleoplasm,Enhanced
O95104,Nucleoplasm,Enhanced
Q8TEC5,Nucleoplasm,Enhanced
A0JLT2,Nuclear bodies,Enhanced
Q6PL18,Nucleoplasm,Enhanced
Q969P5,Nucleoplasm,Enhanced
Q9BWN1,Nucleoplasm,Enhanced
Q8WUU5,Nucleoplasm,Enhanced
P15036,Nucleoplasm,Enhanced
Q6ZU65,Nucleoplasm,Enhanced
A6NGH8,Nucleoplasm,Enhanced
A2A3K4,Nucleoplasm,Enhanced
Q13620,Nucleoplasm,Enhanced
Q86VM9,Nuclear speckles,Enhanced
P22415,Nucleoplasm,Enhanced
Q8N163,Nuclear bodies,Enhanced
Q8N163,Nucleoplasm,Enhanced
P18583,Nuclear speckles,Enhanced
Q92826,Nucleoplasm,Enhanced
Q01196,Nucleoplasm,Enhanced
Q14149,Nucleoplasm,Enhanced
Q13363,Nucleoplasm,Enhanced
Q86XD5,Nucleoplasm,Enhanced
Q01081,Nucleoplasm,Enhanced
Q14684,Mitotic chromosome,Enhanced
Q14684,Nucleoli,Enhanced
Q14684,Nucleoli rim,Enhanced
Q14684,Nucleoplasm,Enhanced
O00764,Nucleoplasm,Enhanced
P56182,Mitotic chromosome,Enhanced
P56182,Nucleoli,Enhanced
Q8N9M1,Nucleoplasm,Enhanced
Q15424,Nucleoplasm,Enhanced
O15156,Nucleoplasm,Enhanced
P55265,Nucleoli,Enhanced
P55265,Nucleoplasm,Enhanced
Q53ET0,Nucleoplasm,Enhanced
Q5T3I0,Nucleoli,Enhanced
Q5T3I0,Nucleoplasm,Enhanced
Q96RE7,Nucleoplasm,Enhanced
Q9BTL4,Nucleoplasm,Enhanced
Q53GI3,Nucleoplasm,Enhanced
O94761,Nucleoplasm,Enhanced
Q8NA92,Nucleoplasm,Enhanced
Q9UHR5,Nucleoplasm,Enhanced
Q9H0H5,Nucleoplasm,Enhanced
